x
ME1
AKR1C2
NQO1
ADH7
GCLC
ZNF467
AHRR
AKR1B10
ALDH3A1
PIR
CYP2A13
VPS13D
TKT
TALDO1
CNGB1
ELFN2
GPX2
LYPD2
CYP1B1
ABCB6
TRIM16L
PRDX1
AKR1C1
SLC7A11
GSR
CLIP4
ABCA13
SAA2
SFRP2
MUCL1
OSGIN1
NMRAL1P1
CABYR
GALNT7
CHRM1
SLC29A1
NOS3
AKR1B15
FTH1
CD44
FMOD
SLC16A12
SEMA6B
MAP2K3
TMEM45B
CCDC78
MAFG
LTF
GSTA2
CEACAM5
RAP1GAP2
TFF3
S100A10
RSRP1
PCSK9
CCDC184
CNIH2
EFEMP1
CCNF
FZD8
PLPPR3
CCPG1
MSMB
MAP1B
PLPP3
COL9A2
PHEX
PIEZO1
LOXHD1
ABCC3
GALNT6
POU2AF1
TMEM74B
SLCO2A1
ZDHHC1
IDS
MFSD4A
AKR1C3
BMPR1B
SRXN1
HGD
SPP1
BTN3A2
WDR97
ACACA
GSN
CUL4A
UCP2
C6orf223
FTL
CYP4F3
TMEM184A
FLRT3
SLC6A20
WDR6
RP11-326A19.5
EPHX3
ASTN2
ABHD2
RIMKLA
TSPAN13
PAX1
MAOB
EPPIN
ACVR1B
SCMH1
RAB27B
POLI
FAM49B
CEACAM6
SIX3
NOL3
TXNRD1
CREB3L1
EIF4G1
GSTA7P
TMEM106C
CCDC188
ADRA2A
TTC16
DMBT1
NUP50
TMC4
UCHL1
ITGA9
DNER
ALDOA
RPRML
OVGP1
UGT1A6
CX3CL1
SCGB1A1
TYMP
HEATR1
PTGER4
MUC12
TACR1
GALNT12
WDR38
USP27X
CCDC162P
SLC29A3
OPRL1
NEURL1B
CYP4F11
ITM2A
ABCF1
CACNG4
GCLM
CLDN10
CD59
AC005336.4
BPIFB2
COTL1
SCD5
JOSD2
PAPSS1
KAZALD1
MOK
SLC6A6
NTRK2
IL4R
HMCN1
CYP4B1
NR0B1
THBS1
NCOR1
IFITM3
KCNK6
TMED9
CCDC190
ACKR2
AKR1B1
SYNJ2
TMEM92
SH3RF3
SERPINB1
ATP2A2
PATJ
SULT1A1
AJAP1
SLC2A1
CC2D2A
HMBS
MUC5AC
ATXN7L1
HLF
FRRS1
TGM3
PROM1
C1QTNF5
LTBR
PRR13
TMEM200C
OAZ1
FCGBP
CYP4X1
PACSIN1
BEST3
WDR41
FA2H
C2CD5
NUB1
SPDEF
HSD17B2
HM13
UGT1A10
MT1G
CTSC
KCNC4
G6PD
POTEI
CCT5
COPS7A
PARP9
PER1
FGFR3
LRRC32
RRAD
NA
FMO3
TMEM45A
